timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg
6173.00,-0.150,0.497,0.111,-0.692,-0.443,-0.720,-0.278
6196.00,-0.150,0.499,0.113,-0.735,-0.472,-0.720,-0.279
6219.00,-0.148,0.502,0.115,-0.719,-0.456,-0.719,-0.280
6242.00,-0.152,0.506,0.115,-0.706,-0.360,-0.723,-0.277
6264.00,-0.151,0.509,0.114,-0.609,-0.415,-0.719,-0.277
6287.00,-0.154,0.512,0.113,-0.679,-0.430,-0.721,-0.278
6310.00,-0.158,0.516,0.113,-0.594,-0.484,-0.723,-0.278
6333.00,-0.158,0.516,0.113,-0.733,-0.360,-0.723,-0.279
6356.00,-0.158,0.518,0.116,-0.747,-0.401,-0.723,-0.280
6379.00,-0.158,0.519,0.114,-0.692,-0.346,-0.723,-0.280
6402.00,-0.160,0.520,0.116,-0.663,-0.373,-0.723,-0.281
6425.00,-0.158,0.523,0.118,-0.664,-0.332,-0.720,-0.279
6448.00,-0.157,0.526,0.120,-0.622,-0.470,-0.717,-0.280
6471.00,-0.158,0.530,0.121,-0.677,-0.428,-0.718,-0.279
6494.00,-0.161,0.533,0.123,-0.719,-0.360,-0.720,-0.278
6516.00,-0.161,0.536,0.121,-0.733,-0.415,-0.721,-0.278
6539.00,-0.164,0.534,0.120,-0.706,-0.416,-0.723,-0.282
6562.00,-0.162,0.537,0.121,-0.694,-0.430,-0.721,-0.282
6585.00,-0.165,0.541,0.118,-0.650,-0.373,-0.723,-0.280
6608.00,-0.164,0.544,0.121,-0.747,-0.429,-0.722,-0.280
6631.00,-0.164,0.550,0.123,-0.748,-0.457,-0.722,-0.278
6654.00,-0.167,0.555,0.121,-0.720,-0.416,-0.725,-0.275
6677.00,-0.168,0.558,0.120,-0.665,-0.499,-0.725,-0.277
6700.00,-0.169,0.564,0.120,-0.706,-0.471,-0.726,-0.276
6723.00,-0.174,0.565,0.120,-0.719,-0.415,-0.730,-0.277
6746.00,-0.172,0.568,0.118,-0.707,-0.499,-0.728,-0.279
6768.00,-0.174,0.569,0.120,-0.679,-0.457,-0.729,-0.281
6791.00,-0.175,0.574,0.120,-0.706,-0.360,-0.729,-0.278
6814.00,-0.178,0.575,0.123,-0.650,-0.429,-0.731,-0.280
6837.00,-0.181,0.579,0.123,-0.719,-0.429,-0.733,-0.279
6860.00,-0.182,0.581,0.124,-0.679,-0.443,-0.733,-0.281
6883.00,-0.185,0.583,0.125,-0.664,-0.484,-0.735,-0.282
6906.00,-0.188,0.588,0.127,-0.706,-0.470,-0.737,-0.282
6929.00,-0.189,0.590,0.127,-0.664,-0.443,-0.737,-0.282
6952.00,-0.188,0.592,0.127,-0.762,-0.527,-0.736,-0.286
6975.00,-0.189,0.595,0.127,-0.733,-0.401,-0.737,-0.285
6997.00,-0.189,0.599,0.128,-0.719,-0.415,-0.737,-0.284
7020.00,-0.190,0.601,0.130,-0.691,-0.443,-0.737,-0.284
7043.00,-0.192,0.607,0.128,-0.650,-0.442,-0.737,-0.282
7066.00,-0.196,0.610,0.128,-0.637,-0.360,-0.739,-0.281
7089.00,-0.196,0.611,0.130,-0.735,-0.430,-0.739,-0.282
7112.00,-0.197,0.613,0.130,-0.636,-0.525,-0.738,-0.286
7135.00,-0.199,0.613,0.127,-0.720,-0.498,-0.739,-0.290
7158.00,-0.200,0.617,0.128,-0.595,-0.470,-0.738,-0.290
7181.00,-0.202,0.622,0.128,-0.679,-0.485,-0.738,-0.288
7204.00,-0.203,0.627,0.128,-0.789,-0.471,-0.740,-0.288
7227.00,-0.203,0.630,0.128,-0.691,-0.429,-0.739,-0.288
7249.00,-0.206,0.632,0.131,-0.650,-0.429,-0.740,-0.288
7272.00,-0.203,0.635,0.132,-0.693,-0.443,-0.737,-0.288
7295.00,-0.204,0.641,0.134,-0.705,-0.401,-0.737,-0.285
7318.00,-0.206,0.643,0.134,-0.705,-0.429,-0.738,-0.285
7341.00,-0.204,0.646,0.134,-0.691,-0.387,-0.736,-0.284
7364.00,-0.206,0.652,0.132,-0.719,-0.373,-0.737,-0.281
7387.00,-0.208,0.653,0.132,-0.665,-0.443,-0.738,-0.282
7410.00,-0.211,0.657,0.132,-0.762,-0.471,-0.741,-0.282
7433.00,-0.214,0.657,0.129,-0.609,-0.443,-0.741,-0.285
7456.00,-0.214,0.657,0.131,-0.692,-0.471,-0.740,-0.289
7479.00,-0.214,0.659,0.134,-0.636,-0.373,-0.738,-0.289
7501.00,-0.214,0.662,0.135,-0.636,-0.470,-0.736,-0.290
7524.00,-0.218,0.664,0.131,-0.679,-0.457,-0.739,-0.291
7547.00,-0.221,0.669,0.128,-0.706,-0.471,-0.741,-0.290
7570.00,-0.223,0.671,0.129,-0.733,-0.512,-0.743,-0.292
7593.00,-0.223,0.673,0.128,-0.719,-0.498,-0.742,-0.295
7616.00,-0.224,0.674,0.128,-0.679,-0.332,-0.742,-0.294
7639.00,-0.224,0.674,0.127,-0.720,-0.512,-0.742,-0.299
7662.00,-0.224,0.677,0.127,-0.650,-0.429,-0.740,-0.298
7685.00,-0.223,0.680,0.128,-0.749,-0.430,-0.739,-0.298
7708.00,-0.227,0.681,0.127,-0.692,-0.443,-0.742,-0.300
7730.00,-0.225,0.684,0.125,-0.664,-0.346,-0.739,-0.298
7753.00,-0.227,0.687,0.127,-0.761,-0.360,-0.741,-0.297
7776.00,-0.227,0.688,0.127,-0.622,-0.429,-0.739,-0.298
7799.00,-0.230,0.694,0.128,-0.706,-0.429,-0.741,-0.295
7822.00,-0.231,0.698,0.128,-0.678,-0.388,-0.741,-0.293
7845.00,-0.230,0.702,0.132,-0.706,-0.457,-0.739,-0.292
7868.00,-0.230,0.705,0.132,-0.705,-0.456,-0.738,-0.292
7891.00,-0.228,0.706,0.135,-0.734,-0.457,-0.737,-0.294
7914.00,-0.231,0.711,0.139,-0.816,-0.387,-0.741,-0.292
7937.00,-0.232,0.715,0.138,-0.788,-0.470,-0.743,-0.291
7960.00,-0.234,0.715,0.139,-0.734,-0.443,-0.744,-0.294
7982.00,-0.237,0.719,0.138,-0.664,-0.443,-0.745,-0.293
8005.00,-0.239,0.723,0.139,-0.677,-0.387,-0.747,-0.291
