timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg,kalmanx_deg,kalmany_deg
3745.00,-0.045,0.199,0.039,-0.885,-0.691,-0.760,-0.457,-0.989,-0.738
3768.00,-0.046,0.200,0.037,-0.941,-0.733,-0.765,-0.461,-0.981,-0.738
3791.00,-0.048,0.202,0.037,-1.038,-0.706,-0.772,-0.465,-0.993,-0.733
3814.00,-0.050,0.206,0.037,-0.981,-0.746,-0.779,-0.466,-0.994,-0.734
3837.00,-0.053,0.209,0.035,-0.969,-0.692,-0.785,-0.468,-0.992,-0.726
3860.00,-0.053,0.210,0.039,-0.956,-0.734,-0.788,-0.472,-0.985,-0.728
3883.00,-0.050,0.211,0.041,-0.886,-0.720,-0.788,-0.475,-0.963,-0.727
3906.00,-0.050,0.213,0.041,-1.051,-0.691,-0.793,-0.478,-0.977,-0.720
3928.00,-0.050,0.216,0.041,-0.997,-0.789,-0.797,-0.482,-0.980,-0.732
3951.00,-0.050,0.218,0.042,-1.026,-0.679,-0.802,-0.483,-0.989,-0.721
3974.00,-0.053,0.223,0.041,-0.970,-0.706,-0.808,-0.483,-0.988,-0.716
3997.00,-0.052,0.224,0.038,-0.982,-0.719,-0.810,-0.487,-0.985,-0.717
4020.00,-0.053,0.225,0.038,-0.968,-0.719,-0.814,-0.490,-0.983,-0.717
4043.00,-0.053,0.227,0.038,-0.969,-0.734,-0.817,-0.494,-0.980,-0.720
4066.00,-0.053,0.230,0.037,-0.899,-0.747,-0.819,-0.496,-0.964,-0.724
4089.00,-0.056,0.234,0.035,-0.942,-0.706,-0.824,-0.496,-0.960,-0.719
4112.00,-0.057,0.239,0.035,-0.983,-0.789,-0.829,-0.496,-0.963,-0.730
4135.00,-0.057,0.239,0.034,-0.969,-0.734,-0.832,-0.501,-0.962,-0.733
4158.00,-0.059,0.245,0.032,-1.009,-0.733,-0.837,-0.500,-0.971,-0.731
4180.00,-0.056,0.245,0.034,-0.955,-0.692,-0.836,-0.504,-0.965,-0.726
4203.00,-0.058,0.246,0.032,-0.956,-0.734,-0.840,-0.507,-0.963,-0.729
4226.00,-0.060,0.249,0.032,-0.969,-0.650,-0.845,-0.507,-0.965,-0.714
4249.00,-0.059,0.253,0.031,-0.955,-0.775,-0.846,-0.509,-0.961,-0.723
4272.00,-0.056,0.256,0.030,-0.996,-0.789,-0.846,-0.511,-0.964,-0.735
4295.00,-0.058,0.258,0.031,-1.009,-0.761,-0.851,-0.515,-0.973,-0.742
4318.00,-0.058,0.260,0.031,-0.941,-0.692,-0.853,-0.516,-0.967,-0.733
4341.00,-0.056,0.260,0.032,-0.969,-0.720,-0.854,-0.520,-0.966,-0.733
4364.00,-0.058,0.262,0.032,-0.983,-0.803,-0.858,-0.524,-0.970,-0.748
4387.00,-0.063,0.263,0.031,-0.969,-0.650,-0.866,-0.525,-0.974,-0.731
4410.00,-0.063,0.267,0.031,-0.956,-0.762,-0.867,-0.526,-0.970,-0.736
4432.00,-0.066,0.271,0.030,-0.983,-0.720,-0.872,-0.526,-0.974,-0.732
4455.00,-0.067,0.274,0.031,-0.996,-0.774,-0.876,-0.528,-0.979,-0.740
4478.00,-0.069,0.279,0.031,-0.969,-0.664,-0.879,-0.527,-0.978,-0.725
4501.00,-0.067,0.280,0.034,-1.024,-0.719,-0.881,-0.529,-0.986,-0.724
4524.00,-0.067,0.283,0.032,-0.941,-0.706,-0.882,-0.530,-0.978,-0.720
4547.00,-0.070,0.286,0.032,-0.940,-0.705,-0.886,-0.531,-0.973,-0.716
4570.00,-0.069,0.286,0.035,-0.998,-0.693,-0.887,-0.534,-0.975,-0.712
4593.00,-0.070,0.288,0.034,-0.914,-0.734,-0.889,-0.535,-0.964,-0.715
4616.00,-0.071,0.291,0.034,-0.943,-0.721,-0.891,-0.536,-0.960,-0.715
4639.00,-0.071,0.294,0.032,-0.956,-0.776,-0.893,-0.538,-0.957,-0.725
4662.00,-0.074,0.300,0.035,-0.983,-0.761,-0.897,-0.537,-0.963,-0.730
4684.00,-0.074,0.300,0.037,-0.982,-0.747,-0.899,-0.541,-0.965,-0.736
4707.00,-0.076,0.302,0.039,-0.941,-0.678,-0.901,-0.541,-0.960,-0.725
4730.00,-0.076,0.305,0.037,-0.942,-0.706,-0.902,-0.542,-0.955,-0.721
4753.00,-0.076,0.307,0.038,-1.024,-0.720,-0.904,-0.544,-0.967,-0.722
4776.00,-0.076,0.309,0.039,-0.955,-0.706,-0.905,-0.545,-0.964,-0.718
4799.00,-0.077,0.312,0.039,-0.969,-0.720,-0.908,-0.545,-0.965,-0.717
4822.00,-0.078,0.315,0.042,-0.998,-0.665,-0.911,-0.545,-0.972,-0.707
4845.00,-0.078,0.315,0.045,-1.011,-0.803,-0.913,-0.550,-0.979,-0.726
4868.00,-0.078,0.314,0.042,-1.024,-0.733,-0.915,-0.555,-0.989,-0.731
4891.00,-0.078,0.314,0.044,-0.941,-0.706,-0.916,-0.558,-0.981,-0.728
