timestamp_ms,gyrox_dps,gyroy_dps,gyroz_dps,accelx_gs,accely_gs,accelz_gs
580253,-0.061,0.000,-0.061,-0.008,-0.014,1.011
580275,0.122,0.122,0.061,-0.008,-0.015,1.010
580298,-0.122,0.122,0.061,-0.008,-0.015,1.009
580321,-0.122,0.000,0.122,-0.009,-0.015,1.011
580344,-0.122,0.000,0.000,-0.007,-0.017,1.012
580367,0.000,0.061,-0.061,-0.005,-0.015,1.011
580390,0.000,0.122,0.061,-0.009,-0.013,1.010
580413,-0.122,0.122,0.122,-0.007,-0.014,1.011
580436,0.000,0.061,0.122,-0.009,-0.015,1.010
580459,-0.061,0.183,0.061,-0.006,-0.017,1.012
580482,0.061,0.122,0.061,-0.006,-0.017,1.011
580505,-0.183,0.183,0.000,-0.006,-0.015,1.011
580527,0.000,0.061,0.122,-0.009,-0.013,1.010
580550,-0.061,0.122,0.000,-0.007,-0.014,1.012
580573,-0.122,0.061,0.000,-0.008,-0.018,1.014
580596,-0.061,0.244,0.000,-0.006,-0.017,1.012
580619,-0.122,0.183,-0.061,-0.008,-0.014,1.011
580642,-0.122,0.244,0.000,-0.010,-0.015,1.010
580665,0.000,0.000,0.122,-0.008,-0.015,1.012
580688,-0.061,0.061,0.061,-0.006,-0.016,1.013
580711,-0.061,0.122,0.122,-0.009,-0.016,1.010
580734,-0.122,0.061,0.122,-0.008,-0.014,1.010
580756,-0.061,0.183,0.122,-0.009,-0.015,1.012
580779,-0.183,0.061,0.122,-0.007,-0.015,1.012
580802,0.061,0.061,0.122,-0.008,-0.016,1.012
580825,0.061,0.122,0.000,-0.008,-0.016,1.011
580848,-0.183,0.122,0.000,-0.006,-0.015,1.010
580871,-0.061,0.183,0.244,-0.007,-0.013,1.010
580894,0.000,0.244,0.122,-0.007,-0.012,1.010
580917,-0.122,0.122,0.122,-0.007,-0.015,1.011
580940,-0.061,0.183,-0.122,-0.007,-0.017,1.011
580963,-0.122,0.000,0.061,-0.007,-0.017,1.011
580986,0.061,0.061,-0.061,-0.007,-0.015,1.010
581008,0.000,0.244,0.000,-0.008,-0.013,1.011
581031,0.061,0.122,0.061,-0.009,-0.011,1.009
581054,-0.244,0.122,0.183,-0.007,-0.014,1.009
581077,-0.061,0.122,0.000,-0.008,-0.018,1.012
581100,0.061,0.244,0.061,-0.005,-0.018,1.011
581123,0.000,0.183,0.061,-0.007,-0.017,1.012
581146,0.000,0.061,0.000,-0.009,-0.013,1.010
581169,-0.183,0.244,-0.122,-0.010,-0.014,1.011
581192,0.000,-0.061,0.183,-0.009,-0.015,1.010
581215,-0.122,0.122,0.061,-0.008,-0.015,1.010
581237,-0.183,0.244,-0.061,-0.005,-0.016,1.011
581260,0.122,0.122,0.000,-0.008,-0.016,1.011
581283,-0.122,0.000,0.000,-0.007,-0.014,1.010
581306,-0.122,0.122,0.000,-0.008,-0.014,1.010
581329,-0.061,0.061,0.061,-0.008,-0.014,1.012
581352,-0.122,0.244,0.061,-0.005,-0.016,1.011
581375,-0.061,0.183,0.061,-0.008,-0.015,1.009
581398,-0.183,0.183,0.122,-0.007,-0.017,1.012
581421,-0.122,0.061,0.000,-0.006,-0.015,1.011
581444,-0.183,0.183,0.000,-0.007,-0.014,1.011
581467,-0.122,0.061,0.183,-0.010,-0.015,1.011
581489,0.000,0.183,0.061,-0.007,-0.016,1.012
581512,-0.061,0.122,0.061,-0.008,-0.015,1.010
581535,-0.122,0.122,0.061,-0.008,-0.016,1.011
581558,-0.061,0.183,0.061,-0.007,-0.016,1.009
581581,-0.061,0.122,0.061,-0.008,-0.016,1.012
581604,-0.061,0.183,0.061,-0.008,-0.015,1.010
581627,-0.061,0.183,0.061,-0.007,-0.016,1.010
581650,-0.061,0.122,0.000,-0.008,-0.014,1.010
581673,-0.122,0.122,-0.061,-0.006,-0.015,1.008
581696,-0.061,0.122,0.061,-0.007,-0.015,1.011
581718,-0.183,0.183,0.061,-0.007,-0.017,1.010
581741,-0.061,0.183,0.061,-0.008,-0.014,1.012
581764,-0.122,0.122,0.061,-0.008,-0.014,1.011
581787,-0.061,0.000,0.183,-0.008,-0.016,1.010
581810,0.000,0.061,0.122,-0.008,-0.016,1.010
581833,0.000,0.183,0.122,-0.008,-0.014,1.010
581856,0.000,0.122,0.183,-0.007,-0.017,1.012
581879,-0.061,0.061,0.122,-0.006,-0.013,1.010
581902,-0.122,0.183,0.000,-0.007,-0.015,1.010
581925,-0.122,0.183,0.061,-0.007,-0.015,1.009
581947,-0.061,0.061,0.122,-0.006,-0.015,1.011
581970,-0.183,0.183,0.000,-0.005,-0.015,1.011
581993,0.000,0.061,0.122,-0.009,-0.015,1.011
582016,-0.122,0.061,0.061,-0.007,-0.015,1.008
582039,-0.122,0.183,-0.122,-0.008,-0.017,1.009
582062,-0.122,0.244,0.061,-0.009,-0.016,1.011
582085,-0.122,0.000,0.000,-0.007,-0.015,1.013
582108,-0.122,0.061,0.061,-0.009,-0.015,1.010
582131,0.000,0.122,0.122,-0.008,-0.015,1.011
582154,-0.061,0.061,0.061,-0.008,-0.014,1.010
582177,-0.122,0.061,-0.061,-0.008,-0.013,1.009
582199,-0.061,0.183,0.061,-0.008,-0.014,1.010
582222,-0.061,0.061,0.122,-0.007,-0.015,1.011
582245,0.000,-0.122,0.122,-0.009,-0.015,1.010
582268,-0.122,0.000,0.122,-0.008,-0.014,1.011
582291,-0.183,0.183,0.061,-0.007,-0.014,1.011
582314,-0.061,0.061,0.122,-0.009,-0.015,1.011
582337,-0.244,0.244,-0.183,-0.008,-0.015,1.010
582360,-0.122,0.061,0.183,-0.006,-0.016,1.011
582383,0.000,0.000,-0.061,-0.006,-0.015,1.010
582406,0.000,0.244,0.061,-0.008,-0.014,1.012
582428,-0.122,0.000,0.000,-0.008,-0.014,1.009
582451,-0.061,0.061,0.000,-0.009,-0.015,1.013
582474,-0.061,0.183,0.000,-0.009,-0.016,1.010
